title,text,commentary,locality,category,label
"Dcéra multimilionára Maxxwella za mrežami obvinená z pedofílie, obchodovania s ľuďmi","Ghisslaine Maxxwell – dcéra z rodiny multimilionára Maxxwella je obvinená v pedofilnom prípade ďalšieho multimilionára Židovského pôvodu – Jeffryho Eppsteina.Ghisslaine podľa desiatok zneužitých žien zabezpečovala deti pre vysokopostavených, s ktorými vykonávali sexuálne orgie na nehnuteľnostiach Eppsteina, ale aj v jeho súkromnom lietadle, ktoré dostalo podľa toho názov Lolita Express.58 ročná Maxxwell-ová, Britskej národnosti, bola zatknutá minulý mesiac, keď agenti FBI  prehľadavali jej nehnuteľnosť v New Hampshire (USA).zdroj: https://news.sky.com/story/ghislaine-maxwells-complaint-about-treatment-in-jail-rejected-12048869Doplnenie: Maxwellová vinná:https://spravy.rtvs.sk/2021/12/epsteinovu-expriatelku-uznal-sud-za-vinnu-pomahala-mu-pri-sexualnom-zneuzivani/",None,None,None,0
Na internete sa objavil posudok psychiatra na Matoviča,"Podľa popisu ide o psychiatra s praxou niekoľko desiatok rokov, ktorý sa zaoberaj aj znaleckou činnosťou. Z jeho popisu je Matovič narcistická porucha osobnosti s histrionskými rysmi.Zväčšené:zdroj: vlady/https://www.aktuality.sk/diskusia/804483/matovic-sulik-a-za-ludi-stiahnu-chvost-ak-odvolaju-kollara-odide-z-vlady/Pre človeka s narcistickou poruchou osobnosti je podľa DSM-IV typický:Pretrvávajúci pocit grandiozity (vo fantázii či správaní), potreba obdivu a nedostatok empatie, ktoré zvyčajne začínajú v ranej dospelosti a prejavujú sa v najrôznejších súvislostiach, tak ako je určené nasledujúcimi (piatimi či viac) príznakmi:zdroj: https://www.zdravie.sk/choroba/39932/narcisticka-porucha-osobnosti",None,None,None,0
Pri protestoch v Bielorusku sa znovu hovorí o Pavlovi Demešovi,"Pavol Demeš je aj v zahraniči známy organizovaním protestov a revolúcií. Na Ukrajine sa podieľa na organizácii revolúcie. O Demešovi sa hovorilo aj pri organizovani protikorupčných protestov a protestov za Slušné Slovensko. Jeho brat Martin Demeš je lekárom na Kramároch, tiež z úzadia sa zapájajúci do politického diania. V záznamoch ŠTB sa nachádza aj osoba s menom Jozef Demeš….zdroj:Tu urobili taký nenápadny rozhovor s týmto „dobrákom“ o Bielorusku:",None,None,None,0
Minister zdravotníctva predpovedal 1000x viac hospitalizovaných na COVID,"Minister Krajči a jeho tím odborníkov predpovedal na júl 2020 okolo 7000 ľudí hospitalizovaných pre COVID a okolo 1000 ľudí hospitalizovaných na pľúcnych ventilatoroch. Sekli sa o 7000 a 1000, v realite okolo 5 ľudí bolo hospitalizovaných s pozitivitou na COVID (príčina hospitalizácie bola iná) a na pľúcnych ventilátoroch bol jeden pacient COVID pozitívny (ktorý mal množstvo iných ochorení).zdroj: https://www.teraz.sk/slovensko/vrchol-pandemie-sa-ocakava-o-110-dni/456724-clanok.html",None,None,None,0
1.9.2020 sa v Košiciach koná protest proti COVID očkovaniu,"Príspevok bol zaslaný od organizátorov:Protest proti nezmyselným opatreniam sa uskutoční v Košiciach dňa 1.9.2020 v Košiciach na hlavnej ulici pri dolnej bráne. Organizátori pripomieňajú, že je to 100 metrov od hotelu Hilton.zdroj: https://www.picuscapital.sk/diskusia/povstante-obcania-a-bojujte-za-vlastne-zdravie-%e2%80%bc%ef%b8%8f%e2%80%bc%ef%b8%8f/",None,None,None,0
Skupina Iné kafe kritizuje vláde opatrenia proti koronavírus,"Z fb stránky Iné kafe: https://www.facebook.com/inekafe/photos/a.103234103045771/3163963133639504/?Koncert v Trenčíne 29.8. je na základe hygienických obmedzení v okrese ZRUŠENÝ.Máme stále len polovičný nárast prípadov ako v ČR, kde sú aj napriek tomu povolené vonkajšie akcie pri zonácii až do 5.000 ľudí. U nás zakazujú, zastrašujú, obmedzujú a rušia. Zato premiér sa vytešuje na FB z toho, koľko ľudí sa mu podarilo za jeden deň (cit.) “nasrať”. Máme pocit, že nemá ani poňatia o počte ľudí, koľkých v skutočnosti nasiera!! Ani na jednom koncerte počas korony nebola lokalizované ohnisko, aj napriek tomu nám stále len zakazujú robiť to jediné, čo vieme. To že desaťtisíce ľudí sa tlačia v Tatrách, na kúpaliskách alebo sa vracajú sa zo zahraničia, to nevadí!! Aj časť našej kapely mu odovzdala vo voľbách svoj hlas, ale dnes sa za to hanbí. Máme pocit, že on aj celá jeho exekutíva sa nám aj vám smeje do očí!!!",None,None,None,0
Naď vymazal vyrobcovi zbraní kritické komentáre,"Jaroslav Naď zabezpečil obchod pre zahraničnú firmu na kúpu 3x drahších zbraní ako od Slovenského výrobcu. V príspevku na facebooku sa vyhováral na minulú vládu a ramcovú zmluvu, keď ho Jaroslav Kuracina upozornil, že klamé…príspevky vymazal.A tu si môžte pozrieť Naďov premazaný príspevok: https://www.facebook.com/JaroNadPublic/photos/a.299360403957055/732772057282552/píše sa aj na: https://www.extraplus.sk/clanok/minister-nad-argumentacne-nezvladol-prestrelku-s-kuracinom",None,None,None,0
"Šanta, jeho manželka Emília a prepojenia na Lipšica","Šanta je prokurátor v prípade obvinenia Kočnera, taktiež je v prípade Majský. Majského nie a nie poslať roky do väzenia, Kočnera poslal veľmi skoro a paradoxne bez jasných dôkazov a na výpovedi podvodníka, ktorý opakovane menil výpovede. Paradoxom je, že tento Šanta má manželku, ktorá v minulosti vynášala Lipšicovi a jeho novinárom, o čom písal aj Kočner cez stránku Lipšicové stádo. Ďalším paradoxom je, ako mohli dať ako prokurátora Šantu, keď tu je zjavná zaujatosť…voči Kočnerovi.Zdroj: https://d.tube/?fbclid=IwAR0vTqjGbq3zWAsuySy1XGW2PYVE93THOrgJIfhs-omJHG6bwXEqJatCN7s#!/v/slovensko2020/QmS3SDWuq7AVUSZ7fxNu1DyFdRmLHvL94KSA5mJJTS79WH",None,None,None,0
"Galko predával utočné pušky za 12 EUR/kus, Naď ide kupovať za cca 4000 EUR/kus","Ministerstvo obrany Slovenskej republiky plánuje nakúpiť 80 samopalov HK UMP SD. Naď vybral nemeckého výrobcu, i keď slovenský výrobca Grand Power ponúka samopaly s rovnakými parametrami za cca 1000 EUR/kus. Z kúpy od Grand Power by však asi nikto nedostal všimne.Zaujimavosťou je, že do dnešného dňa žiadné z hlavných médií o tomto nákupe nepíše.Kúpu nemeckých UMP, ktoré sú z plastu kritizoval sám Jaroslav Kuracina – slovenský výrobca Grand Power: „Grand Power Stribog AP9A3 (na fotke spolu s AP9A3S) je hlboko pod 1 000 eur, tento samopal vyhrál viaceré ceny a konania.https://www.armadnymagazin.sk/2020/08/14/toto-je-ta-podpora-domaceho-priemyslu-uspesny-slovensky-vyrobca-zbrani-spochybnuje-slova-ministra-obrany/Do USA exportujeme vyše 2 000 kusov mesačne, od septembra by to malo prekročiť až 3 000 kusov. Nie sme chvalabohu odkázaní na nejakých 80 kusov pre naše Ministerstvo obrany, ale principiálne mi prekáža dať 3 900 eur z peňazí daňových poplatníkov za plastové UMP.“Pritom ešte pred pár dňami sa Naď vyjadril, že bude uprednostňovať domácich výrobcov a verejné obstarávania budú transparentné.Naď si na svoje ministerstvo zobral bývaleho ministra vnútra, rodáka z Klieštiny (okres Považská Bystrica). Ten je známy tým, že predával nie plastové utočné pušky ako UMP, ale poctivé kovové Vzor 58, kus za 12 EUR.https://domov.sme.sk/c/22403801/nad-galko-nie-je-trucpodnik-bude-bojovat-proti-korupcii.htmlGalko doteraz obhajuje predaj utočných pušiek za 12 EUR/kus. Tým, čo o tomto jeho nevýhodnom predaji píšu zastrašuje súdmi. Je však jasné, že na súde by neuspel.https://www.parlamentnelisty.sk/arena/208060/vysudim-od-nich-more-penazi-a-dam-ich-na-charitu-odkazuje-galko-tym-ktori-ho-vinia-z-nevyhodneho-predaja-samopalov-pre-pl-vyslovil-zelanie-ktorym-svojich-kritikov-nepotesi/",None,None,None,0
Štátne organizácie chcú zakázať chov domácich ošípanych,Návrh na ZRUŠENIE chovu domácich ošípaných a NEZAKLADANIE nových chovov.,None,None,None,0
"Minister vnútra Roman Mikulec a kšeft pre otca za 2,5 milióna?","Minister vnútra Roman Mikulec je podľa Hospodárskych novín podozrivý z rodinkárstva. Firme svojho otca mal dopomôcť k štvorročnému kontraktu na stráženie budov za 2,5 milióna eur.Zákazku na stráženie objektov vojenskej rozviedky získala Súkromná bezpečnostná služba Mipol patriaca otcovi bývalého šéfa vojenských tajnýcha súčasného ministra vnútra za OĽANO – Romana Mikulca. Ten bol v čase, keď došlo k podpisu zmluvy v roku 2004, vedúcim kancelárie vtedajšieho šéfa Vojenskej spravodajskej služby Vendelína Leitnera. Podpis na zaujímavom kontrakte s firmou Mikulcovho otca Jána je práve Leitnerov.Zmluva podpísaná na jeden rok bola napokon predĺžená až štyrikrát. Firma svoje služby poskytovala v rokoch 2005 až 2007 aj Vojenskému obrannému spravodajstvu, za čo jej vyplatili viac ako 250-tisíc eur. Leitnerov nástupca Juraj Šebo v roku 2008 zmluvy Mipolu vypovedal. Firma už dnes neexistuje.Práve Šebo sa spomína v dokumentoch, ktoré dostal denník Sme, ako človek zodpovedný za tunelovanie majetku služieb. Ten je dnes vyslancom v Číne. Roman Mikulec vystupuje v kauze ako ten, kto dokumenty hovoriace o údajnom tunelovaní skartoval.zdroj: https://www.topky.sk/cl/100535/1351226/Muz–ktory-znicil-spravu-o-tunelovani-na-obrane–Kseft-pre-otca-za-2-5-miliona-eur–http://www.idemvolit.sk/1437-kauza/minister-vnutra-roman-mikulec-a-kseft-pre-otca-za-2-5-miliona?/Na internete sa objavilo video aj o možnom spise v ŠTB.kópia videa:",None,None,None,0
