title,text,commentary,locality,category,label
Budúcnosť leteckých dní je neistá,"Stredné Slovensko na to môže doplatiť aj ekonomicky. Letisko Sliač je na Slovensku jediné so zmiešanou civilnou a vojenskou prevádzkou. Pre zaradenie do výzbroje nových stíhačiek F-16 ho musia kompletne zrekonštruovať.Tradičný letecký sviatok, ktorého dejiskom bolo desať rokov letisko v Sliači, budú musieť pre rekonštrukciu presunúť.„Stavba bude realizovaná týmto rokom, 2019, ukončená bude v roku 2022,“ povedal ešte vlani vtejdší minister obrany Peter Gajdoš (SNS).Tradičný letecký sviatok, ktorého dejiskom bolo desať rokov letisko v Sliači, budú musieť pre rekonštrukciu presunúť.Pozrite si reportáž:",None,None,Slovensko,1
Cestovné kancelárie hlásia storná septembrových dovoleniek,"Klienti sa tak chcú vyhnúť 10-dňovej karanténe, ktorá je od utorka povinná.Ide predovšetkým o krajiny, ktoré sa po novom zaradia do rizikového zoznamu.Tomáš Kováč plánoval vycestovať na ostrov Martinik. Presunutý let, krach leteckej spoločnosti, ale aj prísnejšie opatrenia ho prinútili zostať doma.Ide predovšetkým o krajiny, ktoré sa po novom zaradia do rizikového zoznamu.„Tento rok už nepôjdem nikam, radšej počkám, ako to celé dopadne. Radšej nebudem riskovať, lebo toto je už moja druhá cesta, čo sa prerušila kvôli opatreniam,“ priblížil Kováč.Ide predovšetkým o krajiny, ktoré sa po novom zaradia do rizikového zoznamu.Pozrite si repotáž:",None,None,Ekonomika,1
Štátne nemocnice sa stále viac zadlžujú,"13 štátnych nemocníc má dlhy spolu vo výške 506 miliónov eur. Strana Sloboda a solidarita navrhuje dlhovú brzdu, riaditeľov nemocníc by mala motivovať hospodáriť efektívne.A to napriek oddlženiu, ktoré bývalá vláda nastavila ešte v roku 2017.Každá nemocnica by mala dvakrát ročne zverejniť svoje dlhy a výnosy. V prípade, že bude v červených číslach, pripraví ozdravný plán. Ak by ani ten neprinútil manažment nemocnice šetriť, ministerstvo zdravotníctva by podľa návrhu SaS pristúpilo k znižovaniu platov vedenia alebo dokonca k výmene na riadiacich postoch.A to napriek oddlženiu, ktoré bývalá vláda nastavila ešte v roku 2017.Pozrite si reportáž:",None,None,Slovensko,1
"Do školských lavíc sa vrátia tisícky žiakov a študentov, pre druhý stupeň budú rúška povinné","Mnohí riaditelia sa rozhodli, že ich budú nosiť všetky deti v škole. Rodičia ich preto kritizujú. Rúška stále vyvolávajú búrlivé debaty medzi rodičmi. Po novom ich totiž budú musieť nosiť aj osoby s ochoreniami dýchacích ciest či kožnými problémami, ktorí mali doteraz výnimku. Nepomôže ani potvrdenie od lekára.Mladším žiakom ich odporúčajú.Hlavná odborníčka ministerstva zdravotníctva pre pediatriu vysvetľuje, že výnimky vypustili preto, že rúška sa osvedčili ako najlepšia ochrana pred prenosom infekcie. Upozorňuje však, že do školy by mali ísť deti zdravé. V prípade, že má dieťa astmu alebo zhoršené kožné problémy, má ostať doma.Mladším žiakom ich odporúčajú.Pozrite si video:Mladším žiakom ich odporúčajú.",None,None,Slovensko,1
"V utorok je Deň ústavy, od prijatia základného zákona štátu uplynulo 28 rokov","Napriek tomu, že jej text prešiel už takmer dvomi desiatkami úprav, aktuálna vládna koalícia s ústavnou väčšinou v Národnej rade SR avizuje ďalšie. Ústavu Slovenskej republiky schválili poslanci Slovenskej národnej rady 1. septembra 1992.Slovensko definuje ako demokratický a právny štát.Okrem strán, ktoré zastupovali maďarskú menšinu, sa zdržali poslanci KDH, ktorí nesúhlasili s agresívnym prístupom Vladimíra Mečiara k deleniu Československa.Slovensko definuje ako demokratický a právny štát.Základný zákon štátu podpísali o dva dni neskôr na Bratislavskom hrade predseda národnej rady Ivan Gašparovič a predseda vlády Vladimír Mečiar.Slovensko definuje ako demokratický a právny štát.Pozrite si video:",None,None,Slovensko,1
Testovanie na COVID-19 sprevádzajú aj problémy,"Objednaní boli na testovanie, odberné miesto však bolo zatvorené. Národné centrum zdravotníckych informácií im v rovnaký deň našlo nové termíny na testy.V Bratislave sa v utorok predpoludním zišli na jednom z odberných miest tri desiatky ľudí.29 ľudí medzi 11.00 h  a 12.00 h čakalo na testy pred bratislavskou Poliklinikou Tehelná. Buď sa vrátili z rizikových krajín, alebo mali príznaky ochorenia COVID-19. Jedným z nich bol aj 33-ročný Šimon, ktorý na testy čaká už vyše týždňa.V Bratislave sa v utorok predpoludním zišli na jednom z odberných miest tri desiatky ľudí.Pozrite si reportáž:",None,None,Slovensko,1
"Školu otvoriť chcú, povolenia však nemajú","Štát na ňu neprispel, lebo odmietol podporiť výstavbu školy pri osade. Zistili sme, že obec doteraz nepodala žiadosť na ministerstvo školstva a nemá ani povolenie od hygieny.V stredu sa začne nový školský rok aj v novej škole v Ostrovanoch v okrese Sabinov, obec ju postavila za takmer 700 000 eur.Deti z osady boli podľa súdu segregované v škole v susednej obci. Podľa ľudskoprávnej organizácie budú teraz segregované doma.V stredu sa začne nový školský rok aj v novej škole v Ostrovanoch v okrese Sabinov, obec ju postavila za takmer 700 000 eur.Pozrite si reportáž:",None,None,Slovensko,1
V Spišskej Novej Vsi zachraňovali policajti opité 12-ročné dievča,"Skúsenosť s ním majú stále mladšie deti. Počas zásahu proti narušiteľom verejného poriadku na sídlisku Západ v Spišskej Novej Vsi objavili policajti opité dievča. Bolo v bezvedomí. Zarážajúce je, že malo len 12 rokov.Odborníci dlhodobo upozorňujú na užívanie alkoholu mladistvými.Policajti dali dievča do stabilizovanej polohy a odovzdali privolaným záchranárom. Tento prípad je len ďalším dôkazom, že v spoločnosti existuje vážny problém s pitím nielen mladistvých, ale už aj maloletých. Zvlášť v období prázdnin.Odborníci dlhodobo upozorňujú na užívanie alkoholu mladistvými.Pozrite si reportáž:",None,None,Slovensko,1
"Pamätník roky chátra, vstup naň je len na vlastné riziko","Košický samosprávny kraj opravu odkladá už tretí rok. Zlý stav pamätníka sa nepozdáva ani ministrovi obrany. Tento rok sa vence k pamätníku kládli len na vlastné nebezpečenstvo. Dôvodom je stav areálu, hlavne schodiska k pamätníku, ktorý je najväčší v kraji a kedysi bol aj najreprezentatívnejší.Vstup na Dargovský pamätník je len na vlastné riziko, jeho chátrajúce schodisko je už pre návštevníkov nebezpečné.„Symbolizuje stratené životy 22 000 padlých sovietskych vojakov, padli pri boji o oslobodzovaní východného Slovenska, vyjmúc karpatsko-dukliansku operáciu,“ priblížil históriu miesta bádateľ klubu vojenskej histórie Gisela-Stellung Martin Greša.Vstup na Dargovský pamätník je len na vlastné riziko, jeho chátrajúce schodisko je už pre návštevníkov nebezpečné.Pozrite si reportáž:",None,None,Slovensko,1
Flyers i Canucks znížili stav série na 2:3,"Hokejisti Philadelphie zvíťazili v noci na stredu v piatom zápase semifinále Východnej konferencie NHL nad New Yorkom Islanders 4:3 po predĺžení a znížili stav série na 2:3. Víťazný gól Flyers strelil v 13. minúte predĺženia Scott Laughton. Možnosť ukončiť sériu nevyužili ani hráči Vegas, ktorí v piatom súboji 2. kola play off podľahli Vancouveru 1:2. Golden Knights vedú v semifinále Západnej konferencie 3:2 na zápasy.Triumf Vancouveru vychytal debutant Demko.Philadelphia bolo blízko k víťazstvu už v riadnom čase, necelých päť minút pred koncom tretej tretiny viedla 3:1. Islanders však potom vyrovnali dvoma gólmi v rozpätí 93 sekúnd zásluhou Brocka Nelsona a Dericka Brassarda a vynútili si predĺženie. V ňom Laughton pri rozhodujúcom zásahu tečoval do bránky strelu Ivana Provorova: „Jeden z najdôležitejších gólov mojej kariéry. Je to skvelý pocit, predral som sa k bránke a snažil som sa vložiť hokejku do strely. Sme nadšení, zároveň však vieme, že v sérii stále prehrávame a čaká nás ešte veľa práce.“Triumf Vancouveru vychytal debutant Demko.Laughton nazbieral v zápase rovnako ako Claude Giroux gól i asistenciu. Brankár Carter Hart prispel k triumfu Philadelphie 29 úspešnými zákrokmi. Flyers dohrávali bez centra Seana Couturiera, ktorý sa na konci druhej tretiny zrazil s útočníkom súpera Mathewom Barzalom a potom sa už na ľad nevrátil. Barzal potom predčasne opustil ľad necelých päť minút pred sirénou tretej časti, do tváre ho zasiahla hokejka Girouxa. O stave oboch zranených hráčov neboli bezprostredne po zápase bližšie informácie.Triumf Vancouveru vychytal debutant Demko.„Ostrovania“ budú mať ďalšiu možnosť zabezpečiť si postup v šiestom zápase série, ktorý je v Toronte na programe v noci zo štvrtka na piatok. „Samozrejme, že sme to chceli ukončiť už dnes večer. Nestalo sa tak, je to dlhá vyraďovačka a niekedy sa musíte vyrovnať s nepriazňou osudu a nájsť inú cestu. Takže sa pripravíme na ďalší zápas,“ uviedol pre zámorské médiá útoćník Islanders Josh Bailey, autor dvoch asistencií. Bailey má v play off už 15 bodov (2+13), najviac v drese klubu od roku 1993 – vtedy nazbierali Ray Ferraro 20 a Steve Thomas 17.Triumf Vancouveru vychytal debutant Demko.Hviezdou Vancouveru pri triumfe nad Vegas bol brankár Thatcher Demko, ktorý vo svojom prvom kariérnom štarte v play off zaznamenal 42 zákrokov. Demko je 15. brankár v histórii NHL, ktorý svoj premiérový zápas vo vyraďovačke okorenil víťazstvom, keď jeho tím čelil vyradeniu zo súťaže. Jednotka tímu Jacob Markström nebol pripravený nastúpiť na zápas. „Bol to pre mňa špeciálny večer. Prvý zápas v play off a hneď víťazný. Presne o tomto som sníval ako malé dieťa,“ povedal Demko.Triumf Vancouveru vychytal debutant Demko.„Zlatí rytieri“ boli jasne aktívnejší, no dali jediný gól, postaral sa oň Shea Theodore. „Musíme si pozrieť video. Urobili sme tam chyby, ktoré nás stáli zápas a to si v tejto fáze sezóny nemôžeme dovoliť,“ vyhlásil Theodore. Za Canucks potom skórovali Brock Boeser a Elias Pettersson, J.T. Miller si pripísal dve asistencie. Hokejisti Vegas v aktuálnych bojoch o Stanleyho pohár až doteraz vyhrali všetky zápasy, v ktorých strelili prvý gól. Šiesty duel série bude v noci na piatok v Edmontone.",None,None,Šport,1
