title,text,commentary,locality,category,label
"Šokujúci objav! Na Antarktíde našli pyramídu, budú sa prepisovať dejiny?","Podľa mnohých teórií je ľudstvo omnoho staršie, ako sa predpokladá. Údajne by sme mali našu históriu predĺžiť o niekoľko miliónov rokov.Záhadná pyramída v Antarktíde by mala byť dôkaz, že je to skutočne tak. Dnes najchladnejší kontinent Zemegule bol naposledy bez ľadu pred 12-timi miliónmi rokov a jeho podnebie by sa dalo prirovnať k Novému Zélandu. Je teda pyramída umelo vytvorená alebo ide len o prírodný útvar?Zdroj|Foto: YouTube",None,None,Nezaradené,0
Záhadný cestovateľ z krajiny Taured: Prišiel z inej dimenzie?,"Najpodivnejší prípad 20. storočia sa nespája s lietajúcimi taniermi, konšpiračnými teóriami alebo duchmi. To, čo ľuďom nedáva spať už viac než 50 rokov je záhada neznámeho cestovateľa.V roku 1954 sa na tokijskom letisku Haneda objavil zvláštny pasažier európskeho vzhľadu. Pri pasovej kontrole sa predstavil ako finančník, ktorý pricestoval kvôli obchodu. Nič nenasvedčovalo tomu žeby klamal, no pracovníci letiska ostali v šoku potom ako im predložil svoj pas. Bol vydaný neznámou krajinou “Taured”. Colníci preto od muža požadovali skutočný doklad totožnosti mysliac si, že ide o žart.Muž ostal šokovaný a snažil sa pracovníkom letiska vysvetliť, že krajina Taured existuje už viac než tisíc rokov. Jeho tvrdenie mali podporiť japonské víza, ktoré už v pase mal z predchádzajúcich ciest. Keď bol požiadaný, aby ukázal na mape, kde presne sa jeho krajina nachádza, ukázal na Andoru. Sám bol veľmi prekvapený z toho, čo vlastne Andora je.Následne ho umiestnili do miestnosti bez okien, kde mal vyčkať na výsluch. No neznámy cestovateľ do rána bez stopy zmizol. Podarilo sa mu neznámym spôsobom premiestniť sa z inej dimenzie do našej?Foto: ancient-origins.net",None,None,Nezaradené,0
Máme sa začať báť? ZEM má tento rok údajne zasiahnuť ASTEROID!,"Pracovníci americkej University of Texas’ McDonald Observatory tvrdia že Zem bude v septembri tohto roku čeliť obrovskému ohrozeniu, ktoré môže znamenať smrť tisícok ľudí.V tom čase má popri našej planéte preletieť asteroid, ktorý i napriek svojim menším rozmerom porovnateľnými so Sochou slobody, môže napáchať nesmierne škody. Naposledy sa podobný prípad stal v roku 2013, keď Rusko zasiahol asteroid o polovičnej veľkosti. Ten spôsobil zranenia 1200 ľuďom a napáchal škody na majetku na rozlohe niekoľko desiatok kilometrov. Podľa agentúry NASA je však šanca jedna ku miliónu, že by nás zasiahol. No i oni sa môžu mýliť.Zdroj|Foto: YouTube",None,None,Nezaradené,0
Poznali dávne civilizácie tajomstvo výroby elektrickej energie? Nájdené artefakty tomu nasvedčujú!,"Učebnice dejín nás učia, že prvý galvanický článok inak nazývaný ako aj batéria po prvý krát v našej histórii zostrojil taliansky fyzik Alessandro Volta. Po ňom bola následne pomenovaná i jednotka elektrického napätia. Čo ak ho však predbehli staroveké civilizácie o tisícky rokov skôr?V roku 1936 sa v lokalite Khujut Rabuah v Iraku podarilo nájsť zvláštny predmet. Nález tvoril 14 centimetrov vysoký džbán z pálenej hliny s medeným plieškom stočeným do tvaru valca a so železnou tyčou. Hrdlo nádoby bolo utesnené asfaltom. Artefakt bol datovaný do obdobia okolo prelomu letopočtu, kedy v oblasti vládli Parthovia alebo Sásánovci.Účel predmetu bol nejasný až do roku 1938, kedy ho popísal nemecký maliar Wilhelm König pracujúci v Irackom národnom múzeu. König prišiel s hypotézou, že šlo o galvanický článok. A naozaj pokusy preukázali, že pokiaľ sa nádoba naplní kyslou tekutinou, napríklad citrónovou šťavou alebo vínnym octom, dôjde k elektrolýze a batéria vyrobí napätie okolo dvoch voltov. Archeológovia však teóriu o batérii doteraz odmietajú.Zdroj|Foto: wikipedia.org, aquizam.com",None,None,Nezaradené,0
Ako vyzerá prekliata bábika Annabelle v skutočnosti? Budete sa diviť!,"Démonmi posadnutá bábika menom Annabelle sa dostala do povedomia ľudí vďaka rovnomennému hororovému filmu. Hollywoodski producenti si jej vzhľad museli prispôsobiť, aby vyzerala hrôzostrašnejšie, ako však vyzerá v skutočnosti?Annabelle sa dodnes nachádza spolu s ďalšími prekliatymi predmetmi v Okultnom múzeu, založenom manželským párom Edom a Lorraine Warrenovými. Tam je neustále prísne strážená, pretože existujú legendy podľa ktorých ten, kto sa Annabelle dotkne alebo je k nej nezdvorilý, toho čaká nevyhnutná smrť.Známy je prípad motorkára, ktorý počas návštevy múzea vyklopkával na vitrínu, čím mal diablovu bábiku rozhnevať. Cestou domov mal následne smrteľnú dopravnú nehodu.Zdroj|Foto: wikipedia.org, movieweb.com",None,None,Nezaradené,0
Prichádza najstrašidelnejší dokument všetkých čias: Pozrite si k nemu trailer!,"Obľubujete pocit strachu, ktorý zažívate pri sledovaní hororov? Milujete strašidelné príbehy podľa skutočnej udalosti? Tak nasledujúci dokument bude presne pre vás!Televízia HBO predstavila trailer k očakávanému dokumentu ,,Pozor na Slendermana (Beware the Slenderman)”, ktorý v nás vyvolal neopísateľný pocit tajomna. A keď nás dokáže vydesiť iba upútavka, aký asi bude celý dokument? Nevieme sa dočkať.Zdroj|Foto: YouTube",None,None,Nezaradené,0
Vražda Abrahama Lincolna je plná otáznikov: Učia nás v škole nezmysly?,"Americké dejiny majú mnoho tragických svedkov. Jedným z nich je aj smrť Abrahama Lincolna. Bol zavraždený 14.4.1865 vo Fordovom divadle vo Washingtone, kam šiel spolu so svojou manželkou Mary Todd Lincoln na večerné predstavenie.  Podľa oficiálnych zdrojov mal byť vrahom herec a prívrženec Juhu John Wilkes Booth, ktorý po atentáte ušiel. Oficiálne zdroje ďalej uvádzajú, že spolu s ním na atentáte spolupracovalo ďalších 9 atentátnikov, ktorý chceli spolu s prezidentom zavraždiť aj armádneho generála Granta, ministra zahraničných vecí Sewarda a viceprezidenta Johnsona. Je to však tak? Mohlo byť takéto sprisahanie utajené tak veľmi, že nik o ňom netušil?Lincolnova manželka píše v jednom liste priateľovi o tom, že za smrť jej manžela môže práve Andrew Johnson. Viceprezident Johnson vraj nejedenkrát spomínal to, že by sa prezidentom vraj rád stal. K dobru jeho mena tiež neprispieva ani to, že v jeho schránke sa našla pohľadnica od Bootha.Oficiálne vyšetrovanie nepotvrdilo žiadne napojenie Johnsona na Bootha, avšak je známa hypotéza, kedy Booth navštívil hotel, v ktorom bol ubytovaný práve Johnson. John Booth mal nejakú dobu na viceprezidenta čakať, avšak keď sa ten neukazoval a schôdzka sa neuskutočnila, nechal mu len odkaz na recepcií.Ďalšou podivnosťou na smrti Abrahama Lincolna je aj to, že práve v osudný večer ho namiesto jeho obvyklého bodyguarda sprevádzal policajt John Parker, ktorý bol vo svojom okolí známy tým, že si veľmi rád vypil. A podivnosti je omnoho viac. V ten večer mal byť s ním taktiež armádny generál Grant, ktorý však svoju účasť na poslednú chvíľu odvolal.Neobjasnených udalostí okolo atentátu na Abrahama Lincolna je mnoho. Mohlo ísť skutočne len o odvetnú pomstu Johna Bootha za vojnu Severu proti Juhu alebo nitky spiknutia viedli do najvyšších miest Americkej vlády?Zdroj | Foto: Wikipedia",None,None,Nezaradené,0
"Záhada letu Apollo I: Bola smrť posádky vážne náhoda, alebo to bolo celé úplne inak?","Misie Apollo, najúspešnejšie a najznámejšie americké snahy o dobytie Mesiaca a vesmíru. Avšak už na začiatku prišlo mnoho nešťastných incidentov, ktoré spravili doslova červenú škvrnu na povesti NASA. Najznámejšou z nich je hneď prvá misia – Apollo 1.Prvá pilotovaná misia mala najskôr označenie Apollo 204, ktorá sa po havárií premenovala na Apollo 1, aj keď plavidlo paradoxne nikdy neletelo. Posádku tvorili veliteľ Virgil Grissom a asistovali mu Roger Chaffe a Edward White. Onoho tragického dňa to mala byť len rutinná skúška komunikácie, pretože veliteľ posádky sa už vtedy rozhorčoval ako ich chce NASA počuť na Mesiaci, keď nemajú dobrú komunikáciu ani na Zemi?Písal sa deň 27. januára 1967 – piatok – keď posádka nastúpila do kabíny, ktorej konštrukcia a dokončenie bolo sprevádzané mnohými problémami. Začalo skúšobné odpočítavanie, keď sa po chvíli ozval hlas Rogera Chaffeho s tým, že v kabíne cíti oheň a následne to s výkrikom zopakoval aj Edward White.Všetci vtedy uhynuli – buď sa zadusili dymom alebo zhoreli. NASA prakticky nikdy neuviedla, kto bol vinníkom. Vraj nastala určitá závada na elektroinštalácií, pričom v kabíne sa nachádzalo mnoho horľavých vecí. Ale je to naozaj tak?Grissomov syn tvrdí, že všetko to bola sabotáž, ktorú zinscenovala NASA, pretože sa nikdy nepreniesla cez kritiku nepodarenej misie Mercury-Redstone 4 z roku 1961, počas ktorej sa Grissom takmer utopil.Tvrdí, že na mieste tragédie Apolla 1 bol nájdený spínač S-11 a s ním tiež aj kovová doska, ktorá k nemu ale určite nepatrila. Podľa neho bola doska zámerne namontovaná tam, kde sa zbiehali káble a pri stlačení spínača došlo ku skratu.Zdroj: nasa.gov, YouTube | Foto: spacefact.de, documentingreality.com",None,None,Nezaradené,0
"CIA po nátlaku verejnosti zverejnila fotografie z pozorovaní UFO, ktoré nemal nikto vidieť!","Americká agentúra CIA je veľmi dobre známa svojim utajovaním informácií pred verejnosťou. Avšak, my ľudia sme od prírody tvory zvedavé, a tak po nátlaku zo strany spoločnosti, zverejnila niekoľko šokujúcich fotografií z archívu.Snímky boli zhotovené v rokoch 1940 až 1960. Zachytávajú lietajúce taniere, tak ako sú nám všetkým dobre známe z populárnych sci-fi filmov. Na jednej z nich je dokonca vidieť dokument opisujúci stavbu vesmírneho plavidla.Zdroj|Foto: cia.gov, inquistr.com",None,None,Nezaradené,0
Signál WOW: Komunikujeme s mimozemšťanmi cez tajné signály už viac než tri desaťročia?,"Pred 37 rokmi zachytili v Ohiu nečakaný signál z vesmíru. Ide o snahu vyspelej mimozemskej civilizácie kontaktovať Zem? A ak áno, prečo sa signál viac už neopakoval?Ide o jeden z najznámejších znamení, ktoré dňa 15.8.1977 zachytil rádiový teleskop Big Ear na Ohijskej univerzite. Krátko pred polnocou sa objavil 72 sekúnd trvajúci signál, ktorý zmenil myšlienku ľudstva na to, že vo vesmíre nie sme jediní. Tento neobvykle silný impulz dostal neskôr prezývku WOW, podľa preslávenej poznámky, ktorú napísal astronóm Dr. Jerry Ehman hneď po jeho zachytení.Zem však odpovedala až v roku 2012, pričom táto odpoveď obsahovala 10 000 správ z Twitteru, ku ktorej pridali určitú sekvenciu, ktorá ma poukázať na to, že odpovedá inteligentný život.Prečo však odpoveď trvala tak dlho? Čakalo sa na vynájdenie sociálnej siete Twitter? Alebo jednoducho komunikujeme s danou civilizáciou bez toho, aby nám kompetentné vlády niečo prezradili? Alebo sa signál viac neopakoval len preto, že už jednoducho ani nemal kto odpovedať? Nešlo len o nejaký skrat prístroja?Jedna z teórii tvrdí, že daný teleskop pravdepodobne zachytil signál zo Zeme, ktorý sa iba odrazil spať k Zemi. Je to však možné?Samotný projekt SETI (skratka pre Searching for Extraterestrial Intelligence), ktorý sa zaoberá hľadaním mimozemských civilizácií, bol zriadený o 7 rokov neskôr. Čiže snaha o komunikáciu tu rozhodne je. Prečo však nie sú ohlásené žiadne pokroky? Žeby nebolo v celom vesmíre nikoho?Zdroj: Youtube | Foto: universetoday.com, Wikipedia",None,None,Nezaradené,0
